,biourl,Feature
0,http://www.nndb.com/people/320/000043191/,"['<p><b>Gender:</b> Male<', '<b>Race or Ethnicity:</b> White<', '<b>Sexual orientation:</b> Straight<', '<b>Occupation:</b> <a class=""proflink"" href=""/lists/166/000068959/"">Film Director</a></p>']"
1,http://www.nndb.com/people/626/000042500/,"['<p><b>Gender:</b> Male', '<b>Race or Ethnicity:</b> White', '<b>Sexual orientation:</b> Straight', '<b>Occupation:</b> <a class=""proflink"" href=""/lists/166/000068959/"">Film Director</a></p>']"
2,http://www.nndb.com/people/320/000043191/,"['<p><b>Gender:</b> Male<', '<b>Race or Ethnicity:</b> White<', '<b>Sexual orientation:</b> Straight<', '<b>Occupation:</b> <a class=""proflink"" href=""/lists/166/000068959/"">Film Director</a></p>']"
3,http://www.nndb.com/people/544/000041421/,"['<p><b>Gender:</b> Male', '<b>Race or Ethnicity:</b> White', '<b>Sexual orientation:</b> Straight', '<b>Occupation:</b> <a class=""proflink"" href=""/lists/166/000068959/"">Film Director</a></p>']"
4,http://www.nndb.com/people/292/000044160/,"['<p><b>Gender:</b> Male', '<b>Religion:</b> <a class=""proflink"" href=""/lists/758/000094476/"">Roman Catholic</a>', '<b>Race or Ethnicity:</b> White', '<b>Sexual orientation:</b> Straight', '<b>Occupation:</b> <a class=""proflink"" href=""/lists/166/000068959/"">Film Director</a></p>']"
5,http://www.nndb.com/people/626/000042500/,"['<p><b>Gender:</b> Male', '<b>Race or Ethnicity:</b> White', '<b>Sexual orientation:</b> Straight', '<b>Occupation:</b> <a class=""proflink"" href=""/lists/166/000068959/"">Film Director</a></p>']"
6,http://www.nndb.com/people/459/000032363/,"['<p><b>Gender:</b> Male<', '<b>Religion:</b> <a class=""proflink"" href=""/lists/758/000094476/"">Roman Catholic</a><', '<b>Race or Ethnicity:</b> White<', '<b>Sexual orientation:</b> Straight<', '<b>Occupation:</b> <a class=""proflink"" href=""/lists/166/000068959/"">Film Director</a></p>']"
7,http://www.nndb.com/people/458/000032362/,"['<p><b>Gender:</b> Male<', '<b>Religion:</b> <a class=""proflink"" href=""/lists/758/000094476/"">Roman Catholic</a><', '<b>Race or Ethnicity:</b> White<', '<b>Sexual orientation:</b> <a class=""proflink"" href=""/lists/244/000069037/"">Bisexual</a><', '<b>Occupation:</b> <a class=""proflink"" href=""/lists/166/000068959/"">Film Director</a></p>']"
8,http://www.nndb.com/people/459/000032363/,"['<p><b>Gender:</b> Male<', '<b>Religion:</b> <a class=""proflink"" href=""/lists/758/000094476/"">Roman Catholic</a><', '<b>Race or Ethnicity:</b> White<', '<b>Sexual orientation:</b> Straight<', '<b>Occupation:</b> <a class=""proflink"" href=""/lists/166/000068959/"">Film Director</a></p>']"
9,http://www.nndb.com/people/380/000044248/,"['<p><b>Gender:</b> Male<', '<b>Race or Ethnicity:</b> White<', '<b>Sexual orientation:</b> Straight<', '<b>Occupation:</b> <a class=""proflink"" href=""/lists/166/000068959/"">Film Director</a></p>']"
10,http://www.nndb.com/people/459/000032363/,"['<p><b>Gender:</b> Male<', '<b>Religion:</b> <a class=""proflink"" href=""/lists/758/000094476/"">Roman Catholic</a><', '<b>Race or Ethnicity:</b> White<', '<b>Sexual orientation:</b> Straight<', '<b>Occupation:</b> <a class=""proflink"" href=""/lists/166/000068959/"">Film Director</a></p>']"
11,http://www.nndb.com/people/416/000041293/,"['<p><b>Gender:</b> Male', '<b>Race or Ethnicity:</b> White', '<b>Sexual orientation:</b> Straight', '<b>Occupation:</b> <a class=""proflink"" href=""/lists/166/000068959/"">Film Director</a></p>']"
